Institution, Location, Rating, Score, Valid Through, Liaison, Submitted, Sustainability Rep, Reusable Keyword?, Number of Past Reports, Dates of Past Reports
University of Idaho,"Moscow, ID, US",Silver - expired,58.21,"Feb. 26, 2022",Olivia Wiebe,"Feb. 27, 2019",Mike Thomsen,True,0,
College of Lake County,"Grayslake, IL, US",Silver,49.10,"March 6, 2023",David Husemoller,"March 6, 2020",David Husemoller,True,3,"March 6, 2020 - March 6, 2023; June 7, 2017 - Dec. 3, 2020; Jan. 31, 2011 - Jan. 30, 2014"
DePaul University,"Chicago, IL, US",Reporter - expired,,"March 22, 2015",Kathy Dhanda,"March 22, 2012",,False,0,
Eureka College,"Eureka, IL, US",Bronze - expired,36.50,"Oct. 25, 2021",Katy Everett,"Oct. 26, 2018",Katy Everett,True,0,
Illinois Central College,"East Peoria, IL, US",Bronze - expired,28.57,"Nov. 23, 2018",Troy Hattermann,"Nov. 24, 2015",,False,2,"Nov. 24, 2015 - Nov. 23, 2018; Jan. 24, 2012 - Jan. 23, 2015"
Illinois Institute of Technology,"Chicago, IL, US",Bronze - expired,29.52,"Sept. 24, 2021",Stephen Pepper,"Sept. 25, 2018",Stephen Pepper,True,2,"Sept. 25, 2018 - Sept. 24, 2021; Aug. 1, 2011 - July 31, 2014"
Illinois State University,"Normal, IL, US",Bronze - expired,44.86,"Feb. 24, 2022",Elisabeth Reed,"Feb. 25, 2019",Gig Supanichrattana,True,3,"Feb. 25, 2019 - Feb. 24, 2022; Feb. 29, 2016 - Feb. 28, 2019; Feb. 16, 2012 - Feb. 15, 2015"
Joliet Junior College,"Joliet, IL, US",Bronze - expired,40.74,"June 10, 2018",Pat Van Duyne,"June 11, 2015",,False,0,
Judson University,"Elgin, IL, US",Bronze - expired,43.28,"Feb. 17, 2015",Leslie Kruser,"Feb. 18, 2012",,False,0,
Kankakee Community College,"Kankakee, IL, US",Gold - expired,67.94,"Feb. 2, 2018",Bert Jacobson,"Feb. 3, 2015",,False,3,"Feb. 3, 2015 - Feb. 2, 2018; Feb. 20, 2012 - Feb. 19, 2015; Jan. 3, 2011 - Jan. 2, 2014"
Knox College,"Galesburg, IL, US",Silver,46.06,"Feb. 22, 2024",Deborah Steinberg,"Dec. 18, 2020",Deborah Steinberg,True,4,"Dec. 18, 2020 - Feb. 22, 2024; March 1, 2018 - Aug. 27, 2021; Feb. 13, 2015 - Feb. 12, 2018; May 14, 2014 - May 13, 2017"
Lewis University,"Romeoville, IL, US",Bronze,33.32,"May 5, 2024",John Lerczak,"March 5, 2021",John Lerczak,True,4,"March 5, 2021 - May 5, 2024; March 6, 2020 - March 6, 2023; Feb. 28, 2019 - Feb. 27, 2022; March 2, 2018 - Aug. 28, 2021"
Loyola University Chicago,"Chicago, IL, US",Gold,76.81,"March 6, 2023",Aaron Durnbaugh,"March 6, 2020",Aaron Durnbaugh,True,3,"March 6, 2020 - March 6, 2023; Feb. 27, 2017 - Feb. 27, 2020; Jan. 17, 2014 - Jan. 16, 2017"
Moraine Valley Community College,"Palos Hills, IL, US",Bronze - expired,42.27,"Jan. 27, 2014",Stephenie Presseller,"Jan. 28, 2011",,False,0,
Northwestern University,"Evanston, IL, US",Gold,66.33,"March 6, 2023",Greg Kozak,"March 6, 2020",Sarah Tulga,True,2,"March 6, 2020 - March 6, 2023; March 3, 2017 - Aug. 29, 2020"
Principia College,"Elsah, IL, US",Silver,61.51,"May 12, 2024","Karen Eckert, Ph.D.","March 5, 2021",Trey McCartt,True,2,"March 5, 2021 - May 12, 2024; Nov. 30, 2015 - Nov. 29, 2018"
Richland Community College,"Decatur, IL, US",Silver - expired,48.34,"Dec. 21, 2017",Barry Schwalbe,"Dec. 22, 2014",,False,2,"Dec. 22, 2014 - Dec. 21, 2017; July 26, 2011 - July 25, 2014"
Roosevelt University,"Chicago, IL, US",Bronze - expired,40.54,"Dec. 17, 2018",Rebecca Quesnell,"Dec. 18, 2015",,False,0,
Southern Illinois University Carbondale,"Carbondale, IL, US",Silver,53.85,"Jan. 9, 2023",Karen Schauwecker,"Jan. 10, 2020",Karen Schauwecker,True,3,"Jan. 10, 2020 - Jan. 9, 2023; Nov. 23, 2016 - Nov. 23, 2019; Nov. 27, 2013 - Nov. 26, 2016"
Southern Illinois University Edwardsville,"Edwardsville, IL, US",Silver - expired,49.22,"April 22, 2019",Rich Walker,"April 22, 2016",,False,2,"April 22, 2016 - April 22, 2019; March 22, 2013 - March 21, 2016"
University of Illinois Chicago,"Chicago, IL, US",Silver,60.32,"Oct. 28, 2024",Cynthia Klein-Banai,"July 16, 2021",Cynthia Klein-Banai,True,4,"July 16, 2021 - Oct. 28, 2024; July 17, 2018 - July 16, 2021; Sept. 11, 2014 - Sept. 10, 2017; Jan. 31, 2011 - Jan. 30, 2014"
"University of Illinois, Urbana-Champaign","Urbana, IL, US",Gold - expired,72.89,"Feb. 26, 2022",Meredith Moore,"Feb. 27, 2019",Micah Kenfield,True,4,"Feb. 27, 2019 - Feb. 26, 2022; May 16, 2017 - Nov. 11, 2020; March 17, 2015 - March 16, 2018; July 31, 2013 - July 30, 2016"
Ball State University,"Muncie, IN, US",Silver,58.68,"Sept. 23, 2024",Julie Hopwood,"July 21, 2021",Karen Adkins,True,5,"July 21, 2021 - Sept. 23, 2024; March 2, 2020 - March 2, 2023; Dec. 16, 2015 - Dec. 15, 2018; Sept. 28, 2012 - Sept. 28, 2015; Aug. 2, 2011 - Aug. 1, 2014"
Butler University,"Indianapolis, IN, US",Silver,53.49,"Feb. 22, 2025",Jamie Valentine,"Dec. 20, 2021",Chad Melinger,True,2,"Dec. 20, 2021 - Feb. 22, 2025; Oct. 10, 2018 - Oct. 9, 2021"
DePauw University,"Greencastle, IN, US",Bronze,43.68,"May 13, 2024",Jeane Pope,"June 23, 2020",Malorie Imhoff,True,3,"June 23, 2020 - May 13, 2024; March 4, 2014 - March 3, 2017; Dec. 22, 2010 - Dec. 21, 2013"
Earlham College,"Richmond, IN, US",Silver - expired,46.17,"Feb. 25, 2022",Jamey Pavey,"Feb. 26, 2019",Steve May,True,4,"Feb. 26, 2019 - Feb. 25, 2022; Feb. 26, 2016 - Feb. 25, 2019; May 24, 2013 - May 23, 2016; Jan. 25, 2011 - Jan. 24, 2014"
Goshen College,"Goshen, IN, US",Silver,58.54,"March 6, 2023",Kevin Miller,"March 6, 2020",Anna McVay,True,3,"March 6, 2020 - March 6, 2023; Feb. 3, 2014 - Feb. 2, 2017; Jan. 31, 2011 - Jan. 30, 2014"
Indiana State University,"Terre Haute, IN, US",Silver - expired,48.76,"Feb. 25, 2022",James Speer,"Feb. 26, 2019",Dana Babel,True,3,"Feb. 26, 2019 - Feb. 25, 2022; June 30, 2016 - June 30, 2019; Nov. 1, 2013 - Oct. 31, 2016"
Indiana University Bloomington,"Bloomington, IN, US",Gold,67.61,"Feb. 25, 2023",Makayla Bonney,"Feb. 26, 2020",Rahul Shrivastav,True,5,"Feb. 26, 2020 - Feb. 25, 2023; March 2, 2018 - Aug. 28, 2021; March 2, 2017 - Aug. 28, 2020; Nov. 2, 2015 - Nov. 1, 2018; Jan. 5, 2011 - Jan. 4, 2014"
Indiana University South Bend,"South Bend, IN, US",Bronze,37.54,"Feb. 5, 2024",Krista Bailey,"Dec. 17, 2020",Michelle Shedd,True,0,
Indiana University-Purdue University Indianapolis (IUPUI),"Indianapolis, IN, US",Gold,70.57,"May 11, 2024",Jessica Davis,"Dec. 14, 2020",Deborah Ferguson,True,4,"Dec. 14, 2020 - May 11, 2024; Oct. 31, 2019 - Oct. 30, 2022; Nov. 4, 2016 - Nov. 4, 2019; June 21, 2013 - June 20, 2016"
Purdue University,"West Lafayette, IN, US",Silver - expired,50.16,"March 26, 2016",Michael Gulich,"March 27, 2013",,False,0,
Taylor University,"Upland, IN, US",Bronze - expired,36.89,"Feb. 14, 2015",Kevin Crosby,"Feb. 15, 2012",,False,0,
University of Notre Dame,"Notre Dame, IN, US",Gold,67.02,"Feb. 28, 2025",Carol Mullaney,"Jan. 4, 2022",Carol Mullaney,True,4,"Jan. 4, 2022 - Feb. 28, 2025; Oct. 13, 2017 - April 10, 2021; Oct. 15, 2014 - Oct. 14, 2017; Aug. 17, 2011 - Aug. 16, 2014"
Johnson County Community College,"Overland Park, KS, US",Silver - expired,48.97,"Jan. 23, 2021",Kristy Howell,"July 28, 2017",Kristy Wittman Howell,True,2,"July 28, 2017 - Jan. 23, 2021; June 17, 2014 - June 16, 2017"
Pittsburg State University,"Pittsburg, KS, US",Silver - expired,45.32,"March 4, 2019",Jon Bartlow,"March 4, 2016",,False,2,"March 4, 2016 - March 4, 2019; Feb. 10, 2012 - Feb. 9, 2015"
University of Kansas,"Lawrence, KS, US",Silver - expired,51.71,"July 16, 2018",Jeffrey Severin,"July 17, 2015",,False,2,"July 17, 2015 - July 16, 2018; Feb. 15, 2012 - Feb. 14, 2015"
Berea College,"Berea, KY, US",Gold - expired,65.95,"Dec. 10, 2020",Kathleen McCaig,"June 14, 2017",Caitlin McClanahan,True,3,"June 14, 2017 - Dec. 10, 2020; March 15, 2016 - March 15, 2019; Dec. 22, 2011 - Dec. 21, 2014"
Eastern Kentucky University,"Richmond, KY, US",Bronze - expired,38.32,"Sept. 25, 2021",Rachelanne Knoll,"March 30, 2018",Debbie Namugayi,True,0,
Hopkinsville Community College,"Hopkinsville, KY, US",Bronze - expired,32.13,"March 26, 2016",Kristy Howell,"March 27, 2013",,False,0,
Jefferson Community and Technical College,"Louisville, KY, US",Silver - expired,58.80,"Jan. 30, 2017",Pamela Dumm,"Jan. 31, 2014",,False,0,
Madisonville Community College,"Madisonville, KY, US",Silver - expired,47.07,"May 7, 2018",Brittney Hernandez-Stevenson,"May 8, 2015",,False,0,
Transylvania University,"Lexington, KY, US",Bronze - expired,37.76,"Dec. 12, 2018",Diane Fout,"Dec. 13, 2015",,False,2,"Dec. 13, 2015 - Dec. 12, 2018; April 23, 2013 - April 22, 2016"
University of Kentucky,"Lexington, KY, US",Silver,50.41,"Sept. 29, 2022",David Tedder,"Sept. 30, 2019",Carolyn Gahn,True,3,"Sept. 30, 2019 - Sept. 29, 2022; Oct. 16, 2015 - Oct. 15, 2018; Feb. 3, 2012 - Feb. 2, 2015"
University of Louisville,"Louisville, KY, US",Gold - expired,66.24,"Feb. 26, 2022",Justin Mog,"Feb. 27, 2019",Ellen Trahan,True,4,"Feb. 27, 2019 - Feb. 26, 2022; Feb. 13, 2016 - Feb. 12, 2019; Feb. 6, 2013 - Feb. 6, 2016; Jan. 21, 2011 - Jan. 20, 2014"
Western Kentucky University,"Bowling Green, KY, US",Silver,53.79,"March 5, 2023",Leslie North,"March 5, 2020",Madona May,True,5,"March 5, 2020 - March 5, 2023; March 3, 2017 - Aug. 29, 2020; Jan. 9, 2015 - Jan. 8, 2018; Aug. 15, 2012 - Aug. 15, 2015; June 2, 2011 - June 1, 2014"
Louisiana State University,"Baton Rouge, LA, US",Silver - expired,47.76,"Aug. 27, 2021",Sarah Temple,"March 1, 2018",Sarah Temple,True,2,"March 1, 2018 - Aug. 27, 2021; Oct. 18, 2012 - Oct. 18, 2015"
Tulane University,"New Orleans, LA, US",Silver - expired,56.76,"Oct. 12, 2018",Liz Davey,"Oct. 13, 2015",,False,0,
University of Louisiana at Lafayette,"Lafayette, LA, US",Silver,50.92,"Sept. 21, 2024",Gretchen Vanicor,"June 22, 2021",Monica Rowand,True,0,
Amherst College,"Amherst, MA, US",Silver - expired,46.39,"Feb. 28, 2022",Laura Draucker,"March 1, 2019",Laura Draucker,True,0,
Babson College,"Babson Park, MA, US",Gold - expired,65.28,"Sept. 25, 2021",David Blodgett,"March 30, 2018",Asheen Phansey,True,4,"March 30, 2018 - Sept. 25, 2021; March 13, 2015 - March 12, 2018; April 20, 2012 - April 20, 2015; Jan. 28, 2011 - Jan. 27, 2014"
Bentley University,"Waltham, MA, US",Silver,60.86,"Dec. 8, 2023",Amanda King,"Aug. 6, 2020",Natalie Hayes,True,3,"Aug. 6, 2020 - Dec. 8, 2023; June 22, 2017 - Dec. 18, 2020; July 9, 2014 - July 8, 2017"
Boston College,"Chestnut Hill, MA, US",Gold,65.20,"April 7, 2025",Denice Koljonen,"Feb. 17, 2022",Megan O'Neill,True,3,"Feb. 17, 2022 - April 7, 2025; Feb. 6, 2019 - Feb. 5, 2022; March 2, 2018 - Aug. 28, 2021"
Boston University,"Boston, MA, US",Silver,53.67,"Dec. 2, 2024",Stephen Ellis,"Oct. 7, 2021",Lexie Raczka,True,8,"Oct. 7, 2021 - Dec. 2, 2024; Aug. 2, 2019 - Aug. 1, 2022; April 26, 2017 - Oct. 22, 2020; March 1, 2016 - March 1, 2019; Nov. 25, 2014 - Nov. 24, 2017; July 24, 2013 - July 23, 2016; July 2, 2012 - July 2, 2015; Dec. 14, 2011 - Dec. 13, 2014"
Brandeis University,"Waltham, MA, US",Silver - expired,52.40,"Feb. 17, 2016",Mary Fischer,"Feb. 17, 2013",,False,2,"Feb. 17, 2013 - Feb. 17, 2016; March 28, 2011 - March 27, 2014"
Clark University,"Worcester, MA, US",Reporter,,"March 10, 2024",Jenny Isler,"March 1, 2021",Michael Newmark,True,2,"March 1, 2021 - March 10, 2024; March 1, 2018 - Aug. 27, 2021"
Emerson College,"Boston, MA, US",Gold - expired,66.74,"Sept. 25, 2021",Jennifer Lamy,"March 30, 2018",Dawn Sajdyk,True,3,"March 30, 2018 - Sept. 25, 2021; March 1, 2018 - Aug. 27, 2021; March 6, 2017 - Sept. 1, 2020"
Endicott College,"Beverly, MA, US",Silver,63.54,"Aug. 7, 2022",Carly Thibodeau,"Aug. 8, 2019",Meghan Wrenn,True,2,"Aug. 8, 2019 - Aug. 7, 2022; July 7, 2016 - July 7, 2019"
Franklin W. Olin College of Engineering,"Needham, MA, US",Silver,48.27,"April 24, 2025",Claire Rodgers,"March 4, 2022",,False,2,"March 4, 2022 - April 24, 2025; June 28, 2018 - Dec. 24, 2021"
Hampshire College,"Amherst, MA, US",Gold - expired,66.70,"Sept. 25, 2021",David Gibson,"March 30, 2018",Marge Dunehew,True,0,
Massachusetts Institute of Technology,"Cambridge, MA, US",Gold,69.20,"Dec. 16, 2024",Julie Newman,"Sept. 30, 2021",MIT Office of Sustainability,True,2,"Sept. 30, 2021 - Dec. 16, 2024; Oct. 23, 2018 - Oct. 22, 2021"
Mount Holyoke College,"South Hadley, MA, US",Reporter - expired,,"Feb. 25, 2022",V.S. (Raghu) Raghavan,"Feb. 26, 2019",Nancy Apple,True,0,
Northeastern University,"Boston, MA, US",Reporter,,"June 8, 2024",Megan Curtis-Murphy,"May 28, 2021",Carol Rosskam,True,0,
Smith College,"Northampton, MA, US",Silver,61.36,"March 2, 2023",Rachael Wein,"March 2, 2020",Andy Cox,True,3,"March 2, 2020 - March 2, 2023; March 3, 2017 - Aug. 29, 2020; July 11, 2014 - July 10, 2017"
Stonehill College,"North Easton, MA, US",Silver - expired,50.14,"April 22, 2019",Jessa Gagne,"April 22, 2016",,False,0,
Tufts University,"Medford, MA, US",Silver - expired,61.04,"Feb. 28, 2022",Tina Woolston,"March 1, 2019",Julie Lampie,True,3,"March 1, 2019 - Feb. 28, 2022; Nov. 12, 2015 - Nov. 11, 2018; Aug. 1, 2011 - July 31, 2014"
University of Massachusetts Amherst,"Amherst, MA, US",Gold,76.93,"March 6, 2023",Nathanael Schildbach,"March 6, 2020",Kathy Wicks,True,5,"March 6, 2020 - March 6, 2023; March 2, 2018 - Aug. 28, 2021; Feb. 5, 2015 - Feb. 4, 2018; Jan. 31, 2014 - Jan. 30, 2017; July 29, 2011 - July 28, 2014"
University of Massachusetts Dartmouth,"Dartmouth, MA, US",Silver,52.28,"May 13, 2024",Jamie Jacquart,"March 5, 2021",Kirby Roberts,True,0,
University of Massachusetts Lowell,"Lowell, MA, US",Gold,83.37,"March 28, 2025",Ruairi O'Mahony,"Feb. 11, 2022",Bruce Perry,True,4,"Feb. 11, 2022 - March 28, 2025; Feb. 15, 2019 - Feb. 14, 2022; Aug. 10, 2016 - Aug. 10, 2019; May 1, 2015 - April 30, 2018"
University of Massachusetts Medical School,"Worcester, MA, US",Silver,46.18,"April 3, 2023",Suzanne Wood,"April 3, 2020",Suzanne Wood,True,3,"April 3, 2020 - April 3, 2023; May 26, 2016 - May 26, 2019; Nov. 29, 2012 - Nov. 29, 2015"
Wellesley College,"Wellesley, MA, US",Gold - expired,66.38,"Nov. 12, 2021",Olivia Shehan,"Nov. 13, 2018",Dorothea Von Herder,True,4,"Nov. 13, 2018 - Nov. 12, 2021; Dec. 24, 2015 - Dec. 23, 2018; May 31, 2012 - May 31, 2015; Aug. 18, 2011 - Aug. 17, 2014"
Wentworth Institute of Technology,"Boston, MA, US",Reporter,,"March 31, 2025",Debra Shepard,"March 4, 2022",Debra Shepard,True,5,"March 4, 2022 - March 31, 2025; March 4, 2021 - March 7, 2024; March 6, 2020 - March 6, 2023; March 1, 2019 - Feb. 28, 2022; March 2, 2018 - Aug. 28, 2021"
Williams College,"Williamstown, MA, US",Gold,66.63,"March 28, 2025",Christine Seibert,"March 3, 2022",Temesgen Araya,True,4,"March 3, 2022 - March 28, 2025; May 28, 2019 - May 27, 2022; Feb. 2, 2016 - Feb. 1, 2019; Aug. 1, 2011 - July 31, 2014"
Worcester Polytechnic Institute,"Worcester, MA, US",Gold,72.46,"Nov. 6, 2023",Paul Mathisen,"May 22, 2020",Paul Mathisen,True,3,"May 22, 2020 - Nov. 6, 2023; May 23, 2017 - Nov. 18, 2020; April 16, 2015 - April 15, 2018"
Anne Arundel Community College,"Arnold, MD, US",Silver - expired,45.38,"Nov. 17, 2014",James Taylor,"Nov. 18, 2011",,False,0,
Frostburg State University,"Frostburg, MD, US",Silver - expired,47.61,"June 12, 2019",Tracy Edwards,"June 12, 2016",,False,2,"June 12, 2016 - June 12, 2019; May 16, 2013 - May 15, 2016"
Goucher College,"Baltimore, MD, US",Silver - expired,46.71,"May 13, 2017",Matthew Harmin,"May 14, 2014",,False,0,
Towson University,"Towson, MD, US",Bronze - expired,38.09,"May 13, 2016",Clara Fang,"May 14, 2013",,False,0,
"University of Maryland, Baltimore County","Baltimore, MD, US",Silver,56.33,"Feb. 24, 2023",Ryan Kmetz,"Feb. 25, 2020",,False,0,
"University of Maryland, College Park","College Park, MD, US",Gold - expired,69.47,"Feb. 27, 2022",Sally DeLeon,"Feb. 28, 2019",Allison Lilly,True,2,"Feb. 28, 2019 - Feb. 27, 2022; Feb. 12, 2014 - Feb. 11, 2017"
Bates College,"Lewiston, ME, US",Gold,72.58,"Aug. 25, 2023",Tom Twist,"June 12, 2020",Tom Twist,True,2,"June 12, 2020 - Aug. 25, 2023; June 16, 2017 - Dec. 12, 2020"
Bowdoin College,"Brunswick, ME, US",Gold - expired,68.71,"Feb. 27, 2022",Keisha Payson,"Feb. 28, 2019",Matt Caiazzo,True,4,"Feb. 28, 2019 - Feb. 27, 2022; Feb. 25, 2016 - Feb. 24, 2019; July 11, 2013 - July 10, 2016; Nov. 22, 2011 - Nov. 21, 2014"
Colby College,"Waterville, ME, US",Gold - expired,83.20,"Nov. 4, 2021",Mina Amundsen,"Nov. 5, 2018",Marietta Lamarre,True,3,"Nov. 5, 2018 - Nov. 4, 2021; Dec. 12, 2014 - Dec. 11, 2017; Feb. 5, 2013 - Feb. 5, 2016"
College of the Atlantic,"Bar Harbor, ME, US",Gold - expired,73.32,"Feb. 28, 2022",Heather Albert-Knopp,"March 1, 2019",Andrea Russell,True,2,"March 1, 2019 - Feb. 28, 2022; March 30, 2018 - Sept. 25, 2021"
Saint Joseph's College - ME,"Standish, ME, US",Silver - expired,56.33,"Jan. 13, 2021",Kimberly Post,"July 18, 2017",Maya Atlas,True,2,"July 18, 2017 - Jan. 13, 2021; Sept. 26, 2014 - Sept. 25, 2017"
Unity College,"New Gloucester, ME, US",Gold - expired,68.26,"March 21, 2022",Chris Bond,"March 22, 2019",Stacey Hachey,True,4,"March 22, 2019 - March 21, 2022; Nov. 27, 2017 - May 25, 2021; Oct. 30, 2014 - Oct. 29, 2017; Aug. 2, 2011 - Aug. 1, 2014"
University of Maine,"Orono, ME, US",Silver - expired,54.80,"Feb. 28, 2022",Daniel Dixon,"March 1, 2019",Karina Graeter,True,0,
Albion College,"Albion, MI, US",Reporter,,"March 7, 2024",Tanya Jagdish,"March 5, 2021",David Lauffer,False,0,
Aquinas College,"Grand Rapids, MI, US",Silver - expired,60.78,"March 3, 2022",Jessica Bowen,"March 4, 2019",Jessica Eimer Bowen,True,2,"March 4, 2019 - March 3, 2022; Aug. 3, 2015 - Aug. 2, 2018"
Calvin University,"Grand Rapids, MI, US",Silver,52.54,"Feb. 25, 2023",Becky Haney,"Feb. 26, 2020",Ryan Hartman,True,4,"Feb. 26, 2020 - Feb. 25, 2023; Feb. 28, 2019 - Feb. 27, 2022; June 28, 2017 - Dec. 24, 2020; Feb. 22, 2016 - Feb. 21, 2019"
Central Michigan University,"Mount Pleasant, MI, US",Gold,65.09,"Feb. 3, 2024",Joseph Kahn,"Oct. 15, 2020",Tyson Dubay,True,2,"Oct. 15, 2020 - Feb. 3, 2024; April 20, 2017 - Oct. 16, 2020"
Delta College,"University Center, MI, US",Silver - expired,54.89,"Jan. 1, 2021",Wendy Harness,"July 6, 2017",Cynthia Grether,True,2,"July 6, 2017 - Jan. 1, 2021; Jan. 31, 2011 - Jan. 30, 2014"
Grand Valley State University,"Allendale, MI, US",Gold,74.94,"May 5, 2024",Yumiko Jakobcic,"March 5, 2021",Yumiko Jakobcic,True,7,"March 5, 2021 - May 5, 2024; March 1, 2019 - Feb. 28, 2022; March 3, 2017 - Aug. 29, 2020; Feb. 27, 2015 - Feb. 26, 2018; Feb. 28, 2014 - Feb. 27, 2017; Feb. 13, 2013 - Feb. 13, 2016; Jan. 31, 2011 - Jan. 30, 2014"
Hope College,"Holland, MI, US",Silver,57.65,"March 6, 2023",Michelle Gibbs,"March 6, 2020",Dan Zehr,True,3,"March 6, 2020 - March 6, 2023; May 2, 2017 - Oct. 28, 2020; Dec. 3, 2012 - Dec. 3, 2015"
Kalamazoo College,"Kalamazoo, MI, US",Reporter,,"Oct. 1, 2023",Susan Lindemann,"Sept. 25, 2020",Madeline Ward,True,0,
Michigan State University,"East Lansing, MI, US",Gold - expired,70.85,"Feb. 27, 2022",Laura Young,"Feb. 28, 2019",Carla Iansiti,True,3,"Feb. 28, 2019 - Feb. 27, 2022; Feb. 11, 2016 - Feb. 10, 2019; April 14, 2011 - April 13, 2014"
Michigan Technological University,"Houghton, MI, US",Silver,48.56,"Oct. 14, 2023",Alan Turnquist,"July 8, 2020",Jay Meldrum,True,0,
Northern Michigan University,"Marquette, MI, US",Silver,50.27,"Feb. 17, 2023",Sarah Mittlefehldt,"Feb. 18, 2020",Brandon Sager,True,2,"Feb. 18, 2020 - Feb. 17, 2023; March 2, 2017 - Aug. 28, 2020"
Siena Heights University,"Adrian, MI, US",Bronze,28.95,"June 16, 2022",Thomas Wassmer,"June 17, 2019",Jun Tsuji,True,0,
University of Michigan,"Ann Arbor, MI, US",Gold - expired,69.08,"Dec. 21, 2021",Andrew Horning,"June 25, 2018",Kenneth Keeler,True,3,"June 25, 2018 - Dec. 21, 2021; June 30, 2015 - June 29, 2018; March 27, 2012 - March 27, 2015"
Washtenaw Community College,"Ann Arbor, MI, US",Bronze - expired,28.79,"Nov. 18, 2021",William Ghrist,"May 23, 2018",Sandra McCarthy,True,0,
Western Michigan University,"Kalamazoo, MI, US",Silver - expired,61.14,"Feb. 27, 2022",Jeff Spoelstra,"Feb. 28, 2019",Judy Gipper,True,2,"Feb. 28, 2019 - Feb. 27, 2022; July 22, 2014 - July 21, 2017"
Carleton College,"Northfield, MN, US",Silver,64.37,"April 18, 2025",Alex Miller,"March 3, 2022",Alexandra Miller,True,5,"March 3, 2022 - April 18, 2025; March 5, 2021 - May 11, 2024; March 6, 2020 - March 6, 2023; March 1, 2019 - Feb. 28, 2022; March 20, 2018 - Sept. 15, 2021"
College of Saint Benedict,"Saint Joseph, MN, US",Silver - expired,63.09,"April 29, 2016",Elissa Brown,"April 30, 2013",,False,2,"April 30, 2013 - April 29, 2016; May 9, 2011 - May 8, 2014"
Concordia College - Moorhead,"Moorhead, MN, US",Silver,48.46,"Feb. 2, 2024",Gabrielle Lommel,"Dec. 16, 2020",Nicole Crouch,True,3,"Dec. 16, 2020 - Feb. 2, 2024; June 28, 2017 - Dec. 24, 2020; July 15, 2014 - July 14, 2017"
Gustavus Adolphus College,"Saint Peter, MN, US",Silver,54.18,"Jan. 9, 2025",Jeff Jeremiason,"Nov. 30, 2021",Kari Wallin,True,0,
Hibbing Community College,"Hibbing, MN, US",Reporter - expired,,"June 11, 2017",Donald Graves,"June 12, 2014",,False,0,
Macalester College,"Saint Paul, MN, US",Gold,74.86,"April 18, 2024",Alyssa Erding,"Jan. 19, 2021",Amy Jackson,True,4,"Jan. 19, 2021 - April 18, 2024; May 31, 2017 - Nov. 26, 2020; July 18, 2014 - July 17, 2017; July 19, 2011 - July 18, 2014"
Minnesota State University Moorhead,"Moorhead, MN, US",Silver - expired,45.77,"Jan. 16, 2017",Joe Herbst,"Jan. 17, 2014",,False,0,
Saint John's University,"Collegeville, MN, US",Silver - expired,51.25,"Feb. 3, 2018",Jacob Saffert,"Feb. 4, 2015",,False,2,"Feb. 4, 2015 - Feb. 3, 2018; Aug. 1, 2011 - July 31, 2014"
"University of Minnesota, Duluth","Duluth, MN, US",Gold,66.00,"Nov. 3, 2022",Jonna Korpi,"Nov. 4, 2019",Betsy Helgeson,True,3,"Nov. 4, 2019 - Nov. 3, 2022; June 2, 2016 - June 2, 2019; Aug. 2, 2011 - Aug. 1, 2014"
"University of Minnesota, Morris","Morris, MN, US",Gold,72.78,"March 17, 2025",Troy Goodnough,"Feb. 10, 2022",Troy Goodnough,True,5,"Feb. 10, 2022 - March 17, 2025; March 30, 2018 - Sept. 25, 2021; Feb. 28, 2018 - Aug. 26, 2021; June 2, 2015 - June 1, 2018; Feb. 18, 2012 - Feb. 17, 2015"
"University of Minnesota, Twin Cities","Minneapolis, MN, US",Gold - expired,66.39,"Dec. 14, 2018",Shane Stennes,"Dec. 15, 2015",,False,3,"Dec. 15, 2015 - Dec. 14, 2018; Oct. 25, 2012 - Oct. 25, 2015; Aug. 2, 2011 - Aug. 1, 2014"
University of St. Thomas,"Saint Paul, MN, US",Gold,70.12,"April 22, 2024",Amir Nadav,"March 5, 2021",Pamela Peterson,True,2,"March 5, 2021 - April 22, 2024; June 21, 2018 - Dec. 17, 2021"
Missouri State University,"Springfield, MO, US",Silver,59.70,"May 19, 2024",Tamera Jahnke,"April 5, 2021",Doug Neidigh,True,4,"April 5, 2021 - May 19, 2024; March 15, 2018 - Sept. 10, 2021; April 1, 2015 - March 31, 2018; March 23, 2011 - March 22, 2014"
Missouri University of Science and Technology,"Rolla, MO, US",Silver - expired,53.54,"Dec. 18, 2020",Stephane Menand,"June 22, 2017",Ashley Dyl,True,2,"June 22, 2017 - Dec. 18, 2020; Sept. 10, 2012 - Sept. 10, 2015"
Saint Louis University,"Saint Louis, MO, US",Bronze - expired,34.71,"Aug. 28, 2021",Kristina Bryan,"March 2, 2018",Evelyn Shields-Benford,True,3,"March 2, 2018 - Aug. 28, 2021; Feb. 26, 2015 - Feb. 25, 2018; Oct. 9, 2011 - Oct. 8, 2014"
Truman State University,"Kirksville, MO, US",Bronze - expired,26.19,"March 14, 2015",Donna Liss,"March 14, 2012",,False,0,
